Coffee_Cups,Productivity_Score
4.2,56.3
3.3,58.0
4.5,66.3
5.8,71.2
3.1,59.2
3.1,63.7
5.9,93.2
4.7,71.6
2.8,60.2
4.3,67.4
2.8,42.9
2.8,58.0
3.9,65.6
0.6,63.8
0.9,44.4
2.7,59.7
2.0,52.6
4.0,56.5
2.1,63.0
1.4,55.0
5.7,83.4
3.2,53.3
3.6,74.6
1.4,37.6
2.7,62.1
3.7,81.4
1.8,43.6
4.1,61.9
2.6,57.7
3.1,55.9
2.6,44.5
6.3,81.4
3.5,54.1
1.9,56.2
4.7,63.4
1.7,63.2
3.8,58.5
0.6,41.1
1.5,56.3
3.8,54.8
4.6,71.8
3.8,74.9
3.3,48.8
3.0,61.3
1.3,50.4
2.4,62.0
2.8,48.4
5.1,62.5
4.0,70.3
0.9,47.9
4.0,67.9
2.9,61.8
2.5,50.7
4.4,70.6
5.0,75.1
4.9,66.1
2.2,69.5
3.0,63.5
4.0,56.4
5.0,77.5
2.8,50.3
3.2,67.2
1.8,61.2
1.7,44.5
4.7,78.4
5.5,79.3
3.4,68.6
5.0,87.7
4.0,64.3
2.5,50.4
4.0,59.2
5.8,71.2
3.4,61.8
5.8,80.7
0.0,42.2
4.7,77.4
3.6,63.7
3.1,71.5
3.6,61.5
0.5,65.1
3.2,65.6
4.0,59.4
5.7,68.6
2.7,61.6
2.3,53.1
2.7,63.6
4.9,75.5
4.0,65.4
2.7,50.8
4.3,55.6
3.6,60.1
5.0,79.0
2.4,57.6
3.0,49.6
2.9,60.3
1.3,51.6
3.9,58.6
3.9,66.5
3.5,63.3
3.1,51.3
